<b>Meeting</b>,<b>Notes</b>,<b>Topics</b>,<b>Readings</b>,<b>Homework (out)</b>,<b>Homework (due)</b>
09-09-15,,"Overview, motivation. ",SR 2.2,,
09-11-15,,,,,
09-14-15,,,,,
09-16-15,,,,,
09-18-15,,,,,
09-21-15,,,,,
09-23-15,,,,,
09-25-15,,,,,
09-28-15,,,,,
09-30-15,,,,,
10-02-15,,,,,
10-05-15,,,,,
10-07-15,,,,,
10-09-15,,,,,
10-12-15,No Class Thanksgiving Day,,,,
10-14-15,,,,,
10-16-15,,,,,
10-19-15,,,,,
10-21-15,,,,,
10-23-15,,,,,
10-26-15,,,,,
10-28-15,Tentative Midterm Day,,,,
10-30-15,,,,,
11-02-15,,,,,
11-04-15,,,,,
11-06-15,,,,,
11-09-15,,,,,
11-11-15,No Class Rememberance Day,,,,
11-13-15,,,,,
11-16-15,,,,,
11-18-15,,,,,
11-20-15,,,,,
11-23-15,,,,,
11-25-15,,,,,
11-27-15,,,,,
11-30-15,,,,,
12-02-15,,,,,
12-04-15,Last Day of Class,,,,
